AoA,Cl,Cd,CDp,Cm,Xtr_top,Xtr_bot,ClCd
-5.0,-0.6336,0.01124,0.00467,0.0127,1.0,0.1974,-56.37010676156584
-4.5,-0.5898,0.01064,0.00432,0.0146,1.0,0.2569,-55.432330827067666
-4.0,-0.5231,0.01002,0.00401,0.0118,0.9953,0.3312,-52.205588822355296
-3.5,-0.4459,0.00944,0.00374,0.007,0.9867,0.4093,-47.235169491525426
-3.0,-0.3691,0.00892,0.00351,0.0024,0.977,0.484,-41.378923766816136
-2.5,-0.2891,0.00841,0.00328,-0.0026,0.9685,0.5561,-34.37574316290131
-2.0,-0.2183,0.00793,0.00305,-0.0052,0.9545,0.6209,-27.528373266078184
-1.5,-0.1592,0.00754,0.00286,-0.0051,0.9319,0.6795,-21.114058355437667
-1.0,-0.1035,0.00721,0.00271,-0.004,0.9053,0.7339,-14.355062413314839
-0.5,-0.0515,0.00701,0.00262,-0.0021,0.8708,0.7844,-7.346647646219686
0.0,-0.0,0.00694,0.00259,0.0,0.8303,0.8303,-0.0
0.5,0.0515,0.00701,0.00262,0.0021,0.7844,0.8709,7.346647646219686
1.0,0.1035,0.00721,0.00271,0.004,0.7339,0.9053,14.355062413314839
1.5,0.1592,0.00754,0.00286,0.0051,0.6796,0.932,21.114058355437667
2.0,0.2182,0.00793,0.00305,0.0053,0.6209,0.9545,27.51576292559899
2.5,0.289,0.00841,0.00328,0.0026,0.556,0.9685,34.363852556480374
3.0,0.3691,0.00892,0.00351,-0.0024,0.484,0.977,41.378923766816136
3.5,0.4459,0.00944,0.00374,-0.007,0.4093,0.9867,47.235169491525426
4.0,0.5231,0.01002,0.00401,-0.0118,0.3312,0.9954,52.205588822355296
4.5,0.5897,0.01064,0.00431,-0.0146,0.2569,1.0,55.42293233082707
5.0,0.6335,0.01124,0.00467,-0.0127,0.1975,1.0,56.36120996441281
5.5,0.6757,0.01197,0.00516,-0.0104,0.148,1.0,56.44945697577276
6.0,0.717,0.01275,0.00578,-0.0079,0.1119,1.0,56.23529411764706
6.5,0.7575,0.0136,0.00653,-0.0051,0.0883,1.0,55.6985294117647
7.0,0.7975,0.01451,0.00737,-0.0021,0.0724,1.0,54.96209510682288
7.5,0.837,0.01551,0.00836,0.0008,0.0616,1.0,53.96518375241779
8.0,0.8762,0.01659,0.00949,0.0038,0.0536,1.0,52.81494876431585
8.5,0.9139,0.01791,0.01085,0.0069,0.0475,1.0,51.027359017308775
9.0,0.9506,0.01947,0.01241,0.0099,0.0427,1.0,48.82383153569594
9.5,0.9897,0.02094,0.01405,0.0126,0.0394,1.0,47.26361031518625
10.0,1.0266,0.02258,0.01573,0.0152,0.0365,1.0,45.465013286093885
10.5,1.0607,0.02476,0.01811,0.0181,0.0343,1.0,42.83925686591276
11.0,1.0942,0.02679,0.02034,0.0209,0.0324,1.0,40.84359835759612
11.5,1.124,0.029,0.02267,0.0238,0.031,1.0,38.758620689655174
12.0,1.144,0.03268,0.02655,0.0274,0.0297,1.0,35.00611995104039
12.5,1.1541,0.03548,0.02973,0.032,0.0288,1.0,32.52818489289741
13.0,1.1577,0.03936,0.03398,0.0354,0.028,1.0,29.413109756097562
13.5,1.1541,0.04431,0.03928,0.0373,0.0273,1.0,26.046039268788082
14.0,1.144,0.05058,0.04589,0.037,0.0268,1.0,22.617635429023327
14.5,1.123,0.05911,0.05478,0.034,0.0265,1.0,18.998477414989004
15.0,1.0881,0.07097,0.06703,0.0274,0.0264,1.0,15.331830350852472
