AoA,Cl,Cd,CDp,Cm,Xtr_top,Xtr_bot,ClCd
-5.0,-0.0185,0.01287,0.00662,-0.104,0.6244,0.2867,-1.4374514374514373
-4.5,0.0281,0.01294,0.00669,-0.1025,0.6157,0.292,2.1715610510046366
-4.0,0.0693,0.01309,0.00679,-0.1001,0.6043,0.298,5.294117647058824
-3.5,0.115,0.01319,0.00694,-0.0986,0.5954,0.3047,8.718726307808947
-3.0,0.158,0.01349,0.00716,-0.0967,0.5841,0.31,11.712379540400297
-2.5,0.2058,0.01364,0.00734,-0.0957,0.5749,0.3172,15.087976539589445
-2.0,0.247,0.01401,0.00768,-0.0936,0.5638,0.3239,17.630264097073518
-1.5,0.2954,0.01433,0.00798,-0.0928,0.5544,0.3293,20.614096301465455
-1.0,0.3375,0.01474,0.00839,-0.0911,0.5434,0.3372,22.896879240162825
-0.5,0.3839,0.01515,0.00882,-0.0901,0.5339,0.3447,25.33993399339934
0.0,0.4276,0.01572,0.00933,-0.0887,0.5231,0.3496,27.20101781170483
0.5,0.4722,0.01621,0.00987,-0.0877,0.5136,0.3592,29.130166563849478
1.0,0.5144,0.01688,0.01053,-0.0863,0.5029,0.3668,30.473933649289098
1.5,0.5601,0.01751,0.01114,-0.0855,0.4934,0.3727,31.987435750999428
2.0,0.5996,0.01834,0.012,-0.084,0.4828,0.3829,32.69356597600873
2.5,0.6445,0.01908,0.01274,-0.0833,0.4734,0.3905,33.778825995807125
3.0,0.6826,0.02011,0.01375,-0.0817,0.4629,0.3982,33.9433117851815
3.5,0.7261,0.02097,0.01467,-0.0811,0.4536,0.4086,34.625655698617074
4.0,0.7635,0.02216,0.01583,-0.0796,0.4433,0.4163,34.45397111913358
4.5,0.8045,0.02321,0.01692,-0.0788,0.4341,0.4265,34.661783713916414
5.0,0.8412,0.0245,0.01822,-0.0775,0.424,0.4368,34.33469387755102
5.5,0.8793,0.02582,0.01955,-0.0765,0.415,0.4444,34.054996127033306
6.0,0.9146,0.02727,0.02103,-0.0752,0.405,0.4576,33.53868720205354
6.5,0.9507,0.02877,0.02258,-0.0742,0.3962,0.4685,33.044838373305524
7.0,0.9832,0.03048,0.02427,-0.0729,0.3864,0.4786,32.25721784776903
7.5,1.0175,0.03216,0.02604,-0.0719,0.3779,0.4933,31.638681592039802
8.0,1.0475,0.03411,0.02798,-0.0705,0.3683,0.5034,30.709469363822926
8.5,1.0797,0.03602,0.02998,-0.0696,0.36,0.5209,29.975013881177123
9.0,1.1065,0.03825,0.03223,-0.0681,0.3505,0.5342,28.9281045751634
9.5,1.1369,0.04035,0.03443,-0.0673,0.3425,0.5532,28.175960346964068
10.0,1.1599,0.04295,0.03705,-0.0657,0.3334,0.5693,27.005820721769496
10.5,1.1893,0.04521,0.03942,-0.065,0.3256,0.5932,26.30612696306127
11.0,1.2084,0.04819,0.04246,-0.0635,0.3167,0.6166,25.07574185515667
12.0,1.2525,0.05392,0.04845,-0.0614,0.3005,0.6874,23.228857566765576
12.5,1.2789,0.05647,0.05127,-0.0609,0.2933,0.7574,22.647423410660526
13.0,1.2839,0.05944,0.05481,-0.0573,0.2852,0.9993,21.599932705248992
13.5,1.3046,0.06258,0.05796,-0.0567,0.2781,0.9993,20.84691594758709
14.0,1.3177,0.06638,0.06175,-0.0556,0.2701,0.9993,19.850858692377226
14.5,1.3332,0.07004,0.06543,-0.0549,0.2632,0.9993,19.03483723586522
15.0,1.3463,0.07387,0.06925,-0.0542,0.2556,0.9993,18.22526059293353
15.5,1.3585,0.07788,0.07329,-0.0536,0.2488,0.9993,17.443502824858758
16.0,1.3667,0.08229,0.07771,-0.053,0.2415,0.9993,16.608336371369546
16.5,1.3802,0.08618,0.08162,-0.0528,0.235,0.9993,16.015316778834997
17.0,1.386,0.09086,0.08632,-0.0524,0.228,0.9993,15.254237288135593
17.5,1.3968,0.09509,0.09057,-0.0524,0.2218,0.9993,14.689241770953835
18.0,1.4045,0.09962,0.09512,-0.0525,0.2153,0.9993,14.098574583416985
18.5,1.41,0.10438,0.09991,-0.0526,0.2091,0.9993,13.50833493006323
19.0,1.421,0.1086,0.10414,-0.0532,0.203,0.9993,13.084714548802946
19.5,1.4247,0.11358,0.10915,-0.0537,0.1969,0.9993,12.543581616481775
20.0,1.4336,0.11803,0.11364,-0.0546,0.1911,0.9993,12.146064559857663
