AoA,Cl,Cd,CDp,Cm,Xtr_top,Xtr_bot,ClCd
-5.0,-0.0428,0.02636,0.01827,-0.1086,0.7187,0.3267,-1.6236722306525035
-3.0,0.1414,0.02563,0.01761,-0.1024,0.6793,0.3597,5.516972298088178
-2.5,0.2521,0.02424,0.01598,-0.1117,0.6755,0.3721,10.40016501650165
-2.0,0.2414,0.02538,0.0173,-0.1008,0.6598,0.3784,9.511426319936959
-1.5,0.3472,0.02415,0.01596,-0.1091,0.655,0.3913,14.376811594202898
-1.0,0.3441,0.02528,0.01714,-0.0998,0.6402,0.3985,13.611550632911392
-0.5,0.4434,0.02418,0.01601,-0.1069,0.6343,0.4113,18.337468982630273
0.0,0.4464,0.02544,0.01727,-0.0987,0.6202,0.4195,17.547169811320757
0.5,0.5391,0.02436,0.01618,-0.1049,0.6134,0.4328,22.130541871921185
1.0,0.5456,0.02563,0.01752,-0.0974,0.5998,0.4422,21.28755364806867
1.5,0.6331,0.02472,0.01652,-0.1028,0.5923,0.4562,25.61084142394822
2.0,0.6391,0.02611,0.01804,-0.0955,0.5789,0.466,24.477211796246646
2.5,0.7252,0.02534,0.0171,-0.1006,0.5711,0.4815,28.618784530386737
3.0,0.7276,0.02688,0.01883,-0.093,0.5577,0.492,27.06845238095238
3.5,0.8146,0.0262,0.01795,-0.0982,0.5497,0.5085,31.09160305343511
4.0,0.8114,0.02793,0.01993,-0.0902,0.5363,0.5207,29.051199427139277
4.5,0.9025,0.02716,0.01895,-0.0959,0.5283,0.5397,33.22901325478645
5.0,0.8902,0.0293,0.02137,-0.087,0.5149,0.553,30.38225255972696
5.5,0.9597,0.02915,0.02108,-0.0896,0.5061,0.5732,32.922813036020585
6.0,0.9643,0.03098,0.02316,-0.0835,0.4936,0.5906,31.126533247256294
6.5,1.0094,0.03165,0.02383,-0.0829,0.4837,0.613,31.892575039494474
7.0,1.0344,0.033,0.02529,-0.0799,0.4725,0.6371,31.345454545454544
7.5,1.0589,0.03456,0.02702,-0.077,0.4617,0.6646,30.63946759259259
8.0,1.0993,0.03529,0.02785,-0.0759,0.4517,0.702,31.150467554548026
8.5,1.1062,0.03773,0.03061,-0.0711,0.4403,0.7476,29.318844420885238
9.0,1.1436,0.03762,0.03091,-0.0679,0.4315,0.8901,30.398724082934606
9.5,1.1424,0.0409,0.03429,-0.0637,0.4194,0.9993,27.93154034229829
10.0,1.2102,0.04056,0.03366,-0.0663,0.4112,0.9993,29.837278106508876
10.5,1.1912,0.04547,0.03872,-0.0606,0.3988,0.9993,26.197492852430177
11.0,1.2724,0.04417,0.03709,-0.0641,0.3913,0.9993,28.806882499434003
11.5,1.2352,0.05056,0.04372,-0.0575,0.3788,0.9993,24.430379746835445
12.0,1.2704,0.05224,0.04531,-0.0571,0.3699,0.9993,24.31852986217458
12.5,1.2758,0.05615,0.04925,-0.0547,0.3594,0.9993,22.721282279608193
13.0,1.2755,0.06074,0.05392,-0.0522,0.349,0.9993,20.999341455383604
13.5,1.3132,0.06218,0.05525,-0.0522,0.3405,0.9993,21.1193309745899
14.0,1.2862,0.06941,0.06266,-0.0488,0.3291,0.9993,18.53047111367238
14.5,1.3475,0.0687,0.06174,-0.0502,0.3223,0.9993,19.614264919941775
15.0,1.2984,0.07836,0.07167,-0.0465,0.3101,0.9993,16.56967840735069
15.5,1.3802,0.0755,0.06853,-0.0487,0.3048,0.9993,18.280794701986757
16.0,1.3136,0.0873,0.08067,-0.0453,0.2922,0.9993,15.04696449026346
16.5,1.2597,0.09856,0.09217,-0.0436,0.28,0.9993,12.781047077922079
17.0,1.3283,0.09648,0.08991,-0.0449,0.2752,0.9993,13.767620232172472
18.0,1.2604,0.11539,0.10913,-0.0447,0.254,0.9993,10.92295692867666
19.0,1.1759,0.13781,0.13185,-0.0481,0.23,0.9993,8.532762499092954
19.5,1.2707,0.13148,0.12534,-0.0485,0.2297,0.9993,9.66458777000304
20.0,1.3732,0.12443,0.11803,-0.0491,0.2285,0.9993,11.03592381258539
