AoA,Cl,Cd,CDp,Cm,Xtr_top,Xtr_bot,ClCd
-5.0,-0.071,0.00907,0.00328,-0.1061,0.8729,0.0514,-7.828004410143329
-4.5,-0.0152,0.00866,0.00283,-0.1058,0.8551,0.0613,-1.7551963048498846
-4.0,0.0408,0.00837,0.00249,-0.1055,0.8359,0.0771,4.874551971326165
-3.5,0.0967,0.00809,0.0022,-0.1053,0.815,0.0944,11.95302843016069
-3.0,0.1527,0.00788,0.00198,-0.105,0.7922,0.1147,19.378172588832488
-2.5,0.2084,0.0077,0.0018,-0.1048,0.7693,0.1439,27.064935064935064
-2.0,0.2642,0.00753,0.00167,-0.1046,0.7449,0.1837,35.0863213811421
-1.5,0.3195,0.0074,0.00162,-0.1043,0.7203,0.2408,43.17567567567568
-1.0,0.3752,0.00732,0.00158,-0.1041,0.695,0.2869,51.256830601092894
-0.5,0.4302,0.00721,0.00157,-0.1039,0.6692,0.3561,59.66712898751734
0.0,0.4841,0.00691,0.00162,-0.1036,0.6426,0.5088,70.05788712011577
1.0,0.5932,0.00618,0.00191,-0.1022,0.5917,0.9871,95.98705501618123
1.5,0.6543,0.0064,0.00199,-0.1033,0.5679,1.0,102.234375
2.0,0.7073,0.00666,0.00211,-0.1026,0.5457,1.0,106.2012012012012
2.5,0.7607,0.00693,0.00227,-0.1019,0.526,1.0,109.76911976911977
3.0,0.8147,0.00718,0.00245,-0.1015,0.5084,1.0,113.46796657381616
3.5,0.8687,0.00745,0.00265,-0.101,0.4901,1.0,116.60402684563759
4.0,0.9224,0.00773,0.00287,-0.1005,0.4696,1.0,119.32729624838292
4.5,0.9751,0.00807,0.00312,-0.0999,0.447,1.0,120.83023543990085
5.0,1.0269,0.00847,0.0034,-0.0991,0.4155,1.0,121.23966942148759
5.5,1.0789,0.00885,0.00373,-0.0984,0.3914,1.0,121.909604519774
6.0,1.1295,0.00933,0.00411,-0.0974,0.3624,1.0,121.06109324758842
6.5,1.1783,0.00992,0.00457,-0.0962,0.3246,1.0,118.78024193548386
7.0,1.2235,0.01074,0.00518,-0.0944,0.2759,1.0,113.91992551210429
7.5,1.264,0.01186,0.006,-0.092,0.2164,1.0,106.57672849915683
8.0,1.2985,0.01333,0.00708,-0.0886,0.1489,1.0,97.4118529632408
8.5,1.3313,0.01475,0.00824,-0.0849,0.1022,1.0,90.25762711864407
9.0,1.3596,0.01611,0.00944,-0.0804,0.0714,1.0,84.39478584729981
9.5,1.3895,0.01739,0.01066,-0.0763,0.0576,1.0,79.90224266820012
10.0,1.4199,0.01866,0.01198,-0.0726,0.0509,1.0,76.09324758842443
10.5,1.4461,0.02023,0.01357,-0.0685,0.0458,1.0,71.48294611962432
11.0,1.4755,0.02166,0.01512,-0.0652,0.0429,1.0,68.12096029547554
11.5,1.5002,0.02346,0.01699,-0.0617,0.0397,1.0,63.947144075021306
12.0,1.5203,0.02571,0.01935,-0.0581,0.037,1.0,59.13263321664722
12.5,1.5445,0.02779,0.02155,-0.0553,0.0346,1.0,55.57754587981288
13.0,1.555,0.03112,0.02497,-0.0518,0.0318,1.0,49.96786632390746
13.5,1.5767,0.03372,0.02772,-0.0497,0.0298,1.0,46.758600237247926
14.0,1.5891,0.0373,0.0314,-0.0475,0.0273,1.0,42.603217158176946
14.5,1.5992,0.04133,0.03558,-0.0457,0.0251,1.0,38.693443019598355
15.0,1.6081,0.04573,0.0401,-0.0444,0.023,1.0,35.16509949704789
15.5,1.609,0.05126,0.0458,-0.0435,0.0212,1.0,31.388997268825594
16.0,1.6121,0.05681,0.05149,-0.0431,0.0194,1.0,28.377046294666435
16.5,1.6023,0.06417,0.059,-0.0433,0.018,1.0,24.969611968209442
17.0,1.5987,0.07102,0.06604,-0.0439,0.0168,1.0,22.510560405519573
17.5,1.5881,0.07897,0.07416,-0.045,0.0158,1.0,20.11016841838673
18.0,1.5653,0.0889,0.08427,-0.0471,0.015,1.0,17.607424071990998
18.5,1.5495,0.09809,0.09368,-0.0493,0.0144,1.0,15.796717300438374
19.0,1.5325,0.10768,0.10349,-0.0522,0.0138,1.0,14.231983655274888
19.5,1.5139,0.11773,0.11374,-0.0556,0.0133,1.0,12.859084345536397
20.0,1.4938,0.12837,0.12456,-0.0599,0.0128,1.0,11.636675235646956
