AoA,Cl,Cd,CDp,Cm,Xtr_top,Xtr_bot,ClCd
-5.0,-0.3376,0.01229,0.00555,-0.0521,0.9648,0.098,-27.469487388120424
-4.5,-0.2599,0.01149,0.00485,-0.0568,0.9597,0.1318,-22.619669277632724
-3.5,-0.1342,0.01006,0.00383,-0.0594,0.9348,0.2333,-13.33996023856859
-3.0,-0.0764,0.00944,0.00346,-0.0594,0.9189,0.3078,-8.09322033898305
-2.5,-0.0216,0.00882,0.00312,-0.0588,0.9004,0.3871,-2.4489795918367347
-2.0,0.0315,0.00823,0.00285,-0.0578,0.8797,0.4912,3.827460510328068
-1.5,0.0826,0.00773,0.0027,-0.0563,0.8548,0.6098,10.685640362225097
-1.0,0.1338,0.00735,0.0026,-0.0545,0.829,0.7145,18.20408163265306
-0.5,0.1836,0.00711,0.00259,-0.0521,0.8011,0.8156,25.822784810126585
0.0,0.2337,0.00709,0.00268,-0.0494,0.7702,0.9103,32.96191819464034
0.5,0.2977,0.00728,0.00274,-0.0501,0.7371,0.958,40.892857142857146
1.0,0.3768,0.00751,0.00278,-0.0545,0.7,0.9819,50.173102529960055
1.5,0.4639,0.00774,0.00281,-0.061,0.6584,0.9969,59.93540051679586
2.0,0.5207,0.00796,0.00282,-0.0613,0.6196,1.0,65.41457286432161
2.5,0.5682,0.0082,0.0029,-0.0596,0.585,1.0,69.29268292682927
3.0,0.6157,0.00849,0.00305,-0.0579,0.5535,1.0,72.5206124852768
3.5,0.663,0.00882,0.00324,-0.056,0.5184,1.0,75.17006802721089
4.0,0.7103,0.00918,0.00348,-0.0541,0.4837,1.0,77.37472766884531
4.5,0.7576,0.00958,0.00376,-0.0523,0.4465,1.0,79.08141962421712
5.0,0.8048,0.01005,0.00409,-0.0505,0.4022,1.0,80.07960199004975
5.5,0.852,0.0106,0.00449,-0.0488,0.3548,1.0,80.37735849056604
6.0,0.8978,0.01134,0.00501,-0.047,0.2993,1.0,79.1710758377425
6.5,0.9419,0.01229,0.00568,-0.045,0.2371,1.0,76.63954434499593
7.0,0.9838,0.01348,0.00656,-0.0428,0.1702,1.0,72.98219584569733
7.5,1.0227,0.01495,0.00768,-0.0402,0.11,1.0,68.40802675585284
8.0,1.0608,0.01643,0.00901,-0.0375,0.083,1.0,64.56482045039562
8.5,1.098,0.01787,0.01043,-0.0346,0.0702,1.0,61.44376049244544
9.0,1.1353,0.01918,0.01184,-0.0317,0.0634,1.0,59.19186652763295
9.5,1.1638,0.02099,0.01366,-0.0277,0.058,1.0,55.4454502143878
10.0,1.1959,0.02224,0.01508,-0.0241,0.0542,1.0,53.77248201438849
10.5,1.221,0.02402,0.0169,-0.0201,0.0505,1.0,50.832639467110745
11.0,1.2445,0.02613,0.01918,-0.0162,0.0476,1.0,47.62724837351703
11.5,1.27,0.02804,0.02123,-0.013,0.0444,1.0,45.292439372325255
12.0,1.2856,0.03113,0.02436,-0.0094,0.0414,1.0,41.29778348859621
12.5,1.3072,0.03351,0.02701,-0.0069,0.0391,1.0,39.00925096985974
13.0,1.3243,0.03645,0.03009,-0.0048,0.0366,1.0,36.331961591220846
13.5,1.3336,0.04054,0.0343,-0.0024,0.0343,1.0,32.89590527873705
14.0,1.3432,0.04457,0.03863,-0.0012,0.0323,1.0,30.13686336100516
14.5,1.3502,0.04911,0.04334,-0.0007,0.0304,1.0,27.49338220321727
15.0,1.3493,0.05479,0.04915,0.0001,0.0288,1.0,24.626756707428363
15.5,1.344,0.06143,0.05616,-0.001,0.0275,1.0,21.878560963698522
16.0,1.3366,0.06883,0.06384,-0.0029,0.0262,1.0,19.418858056080197
16.5,1.3302,0.0764,0.07159,-0.0055,0.0251,1.0,17.41099476439791
17.0,1.3188,0.08466,0.07997,-0.0078,0.0241,1.0,15.57760453579022
17.5,1.2927,0.09637,0.09207,-0.0132,0.0235,1.0,13.413925495486147
18.0,1.2616,0.10968,0.10576,-0.02,0.023,1.0,11.50255288110868
18.5,1.2236,0.12521,0.12166,-0.0288,0.0227,1.0,9.77238239757208
19.0,1.1681,0.14595,0.14281,-0.0415,0.0226,1.0,8.00342583076396
19.5,0.9416,0.23645,0.23366,-0.0914,0.03,1.0,3.9822372594628885
