AoA,Cl,Cd,Cm,ClCd
-5.0,39353560.04750054,0.006562671267918771,16558457248321.217,5996576461.155091
-4.5,39382106.96569092,0.006562671267918771,16582488824509.234,6000926354.21311
-4.0,39407654.78396185,0.006562671267918771,16604010450731.973,6004819253.495727
-3.5,39430201.55674751,0.006562671267918771,16623015571293.217,6008254862.543506
-3.0,39449745.567024745,0.006562671267918771,16639498397049.844,6011232919.721651
-2.5,39466285.32644094,0.006562671267918771,16653453907172.982,6013753198.239492
-2.0,39479819.57543035,0.006562671267918771,16664877850679.86,6015815506.168213
-1.5,39490347.28330596,0.006562671267918771,16673766747725.328,6017419686.45484
-1.0,39497867.64834268,0.006562671267918771,16680117890665.766,6018565616.93493
-0.5,39502380.097836,0.006562671267918771,16683929344881.832,6019253210.341502
0.0,39503884.28814569,0.006562671267918771,16685199949367.898,6019482414.311697
0.5,39502380.104721315,0.006562671267918771,16683929317085.074,6019253211.390666
1.0,39497867.662111886,0.006562671267918771,16680117835079.965,6018565619.03304
1.5,39490347.30395785,0.006562671267918771,16673766664367.281,6017419689.601712
2.0,39479819.60296324,0.006562671267918771,16664877739574.846,6015815510.363591
2.5,39466285.360853456,0.006562671267918771,16653453768355.473,6013753203.483169
3.0,39449745.608313784,0.006562671267918771,16639498230561.742,6011232926.01315
3.5,39430201.60491014,0.006562671267918771,16623015377185.387,6008254869.882381
4.0,39407654.83899383,0.006562671267918771,16604010229063.09,6004819261.881333
4.5,39382107.027589,0.006562671267918771,16582488575347.525,6000926363.644952
5.0,39353560.11626028,0.006562671267918771,16558456971742.9,5996576471.632493
5.5,39322016.27896489,0.006562671267918771,16531922738507.893,5991769917.10498
6.0,39287477.91788809,0.006562671267918771,16502893958226.941,5986507066.10014
6.5,39249947.66326064,0.006562671267918771,16471379473348.426,5980788319.404581
7.0,39209428.37315609,0.006562671267918771,16437388883489.238,5974614112.522907
7.5,39165923.13327484,0.006562671267918771,16400932542511.9,5967984915.644812
8.0,39119435.25671041,0.006562671267918771,16362021555371.984,5960901233.6094675
8.5,39069968.28369455,0.006562671267918771,16320667774733.06,5953363605.866679
9.0,39017525.981328584,0.006562671267918771,16276883797357.127,5945372606.435956
9.5,38962112.34329649,0.006562671267918771,16230682960267.605,5936928843.8627825
10.0,38903731.589560166,0.006562671267918771,16182079336685.914,5928032961.172191
10.5,38842388.16604237,0.006562671267918771,16131087731748.68,5918685635.820444
11.0,38778086.74428186,0.006562671267918771,16077723677992.326,5908887579.642489
11.5,38710832.221079536,0.006562671267918771,16022003430623.479,5898639538.798041
12.0,38640629.718129076,0.006562671267918771,15963943962570.377,5887942293.715289
12.5,38567484.581621006,0.006562671267918771,15903562959307.871,5876796659.030579
13.0,38491402.38184379,0.006562671267918771,15840878813477.094,5865203483.527618
13.5,38412388.91274847,0.006562671267918771,15775910619273.559,5853163650.071146
14.0,38330450.191518605,0.006562671267918771,15708678166640.191,5840678075.541393
14.5,38245592.45810222,0.006562671267918771,15639201935231.078,5827747710.762769
15.0,38157822.174749486,0.006562671267918771,15567503088183.635,5814373540.433411
15.5,38067146.02550264,0.006562671267918771,15493603465657.35,5800556583.047458
16.0,37973570.91570262,0.006562671267918771,15417525578194.123,5786297890.8198805
16.5,37877103.97145622,0.006562671267918771,15339292599855.29,5771598549.60528
17.0,37777752.539096504,0.006562671267918771,15258928361165.385,5756459678.815668
17.5,37675524.18461807,0.006562671267918771,15176457341848.697,5740882431.334422
18.0,37570426.69310552,0.006562671267918771,15091904663376.336,5724867993.429188
18.5,37462468.068142205,0.006562671267918771,15005296081315.195,5708417584.661791
19.0,37351656.5311923,0.006562671267918771,14916657977475.902,5691532457.794078
19.5,37238000.52098437,0.006562671267918771,14826017351884.32,5674213898.693985
20.0,37121508.69286533,0.006562671267918771,14733401814554.477,5656463226.237099
